|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|
|0+  |     0|0011000000111001|  0  |      0|   0   |    0|    0|      0 |
|1   |     0|0011000000111001|  0  |      0|   0   |12345|    1|      0 |
|1+  |     0|1110110000010000|  0  |  12345|   1   |12345|    1|      0 |
|2   |     0|1110110000010000|  0  |  12345|   1   |12345|    2|      0 |
|2+  |     0|0101101110100000|  0  |      0|   0   |12345|    2|      0 |
|3   |     0|0101101110100000|  0  |      0|   0   |23456|    3|      0 |
|3+  |     0|1110000111110000|  0  |  23456|   1   |23456|    3|      0 |
|4   |     0|1110000111110000|  0  |  23456|   1   |23456|    4|      0 |
|4+  |     0|0000001111101011|  0  |      0|   0   |23456|    4|      0 |
|5   |     0|0000001111101011|  0  |      0|   0   | 1003|    5|      0 |
|5+  |     0|1110001100001000|  0  |      0|   0   | 1003|    5|      0 |
|6   |     0|1110001100001000|  0  |      0|   0   | 1003|    6|      0 |
|6+  |     0|0000001111101100|  0  |      0|   0   | 1003|    6|      0 |
|7   |     0|0000001111101100|  0  |      0|   0   | 1004|    7|      0 |
|7+  |     0|1110001110011000|  0  |     -1|   1   | 1004|    7|     -1 |
|8   |     0|1110001110011000|  0  |     -2|   1   | 1004|    8|     -1 |
|8+  |     0|0000001111101000|  0  |   1004|   0   | 1004|    8|     -1 |
|9   |     0|0000001111101000|  0  |   1000|   0   | 1000|    9|     -1 |
|9+  | 11111|1111010011110000|  0  | -11112|   1   | 1000|    9|     -1 |
|10  | 11111|1111010011110000|  0  | -11112|   1   |21656|   10|     -1 |
|10+ | 11111|0000000000001110|  0  | -11112|   0   |21656|   10|     -1 |
|11  | 11111|0000000000001110|  0  |     14|   0   |   14|   11|     -1 |
|11+ | 11111|1110001100000100|  0  |     -1|   0   |   14|   11|     -1 |
|12  | 11111|1110001100000100|  0  |     -1|   0   |   14|   12|     -1 |
|12+ | 11111|0000001111100111|  0  |     14|   0   |   14|   12|     -1 |
|13  | 11111|0000001111100111|  0  |    999|   0   |  999|   13|     -1 |
|13+ | 11111|1111110111100000|  0  |  11112|   0   |  999|   13|     -1 |
|14  | 11111|1111110111100000|  0  |  11112|   0   |11112|   14|     -1 |
|14+ | 11111|1110001100101000|  0  |     -1|   0   |11112|   14|     -1 |
|15  | 11111|1110001100101000|  0  |     -1|   0   |32767|   15|     -1 |
|15+ | 11111|0000000000010101|  0  |     -1|   0   |32767|   15|     -1 |
|16  | 11111|0000000000010101|  0  |     21|   0   |   21|   16|     -1 |
|16+ | 11111|1110011111000010|  0  |      0|   0   |   21|   16|     -1 |
|17  | 11111|1110011111000010|  0  |      0|   0   |   21|   21|     -1 |
|17+ | 11111|0000000000000010|  0  |     21|   0   |   21|   21|     -1 |
|18  | 11111|0000000000000010|  0  |      2|   0   |    2|   22|     -1 |
|18+ | 11111|1110000010111000|  0  |      1|   1   |    2|   22|      1 |
|19  | 11111|1110000010111000|  0  |      2|   1   |    1|   23|      1 |
|19+ | 11111|1111110111001000|  0  |  11112|   0   |    1|   23|  11112 |
|20  | 11111|1111110111001000|  0  |  11112|   0   |    1|   24|  11112 |
|20+ | 11111|1111110010101000|  0  |  11110|   0   |    1|   24|  11110 |
|21  | 11111|1111110010101000|  0  |  11110|   0   |11110|   25|  11110 |
|21+ | 11111|0000001111101000|  0  |  11110|   0   |11110|   25|  11110 |
|22  | 11111|0000001111101000|  0  |    864|   0   | 1000|   26|  11110 |
|22+ | 11111|1110111010010000|  0  |     -1|   1   | 1000|   26|  11110 |
|23  | 11111|1110111010010000|  0  |     -1|   1   | 1000|   27|  11110 |
|23+ | 11111|1110001100000001|  0  |  11110|   0   | 1000|   27|  11110 |
|24  | 11111|1110001100000001|  0  |  11110|   0   | 1000|   28|  11110 |
|24+ | 11111|1110001100000010|  0  |  11110|   0   | 1000|   28|  11110 |
|25  | 11111|1110001100000010|  0  |  11110|   0   | 1000|   29|  11110 |
|25+ | 11111|1110001100000011|  0  |  11110|   0   | 1000|   29|  11110 |
|26  | 11111|1110001100000011|  0  |  11110|   0   | 1000|   30|  11110 |
|26+ | 11111|1110001100000100|  0  |  11110|   0   | 1000|   30|  11110 |
|27  | 11111|1110001100000100|  0  |  11110|   0   | 1000| 1000|  11110 |
|27+ | 11111|1110001100000101|  0  |  11110|   0   | 1000| 1000|  11110 |
|28  | 11111|1110001100000101|  0  |  11110|   0   | 1000| 1000|  11110 |
|28+ | 11111|1110001100000110|  0  |  11110|   0   | 1000| 1000|  11110 |
|29  | 11111|1110001100000110|  0  |  11110|   0   | 1000| 1000|  11110 |
|29+ | 11111|1110001100000111|  0  |  11110|   0   | 1000| 1000|  11110 |
|30  | 11111|1110001100000111|  0  |  11110|   0   | 1000| 1000|  11110 |
|30+ | 11111|1110101010010000|  0  |      0|   1   | 1000| 1000|  11110 |
|31  | 11111|1110101010010000|  0  |      0|   1   | 1000| 1001|  11110 |
|31+ | 11111|1110001100000001|  0  |  11110|   0   | 1000| 1001|  11110 |
|32  | 11111|1110001100000001|  0  |  11110|   0   | 1000| 1002|  11110 |
|32+ | 11111|1110001100000010|  0  |  11110|   0   | 1000| 1002|  11110 |
|33  | 11111|1110001100000010|  0  |  11110|   0   | 1000| 1003|  11110 |
|33+ | 11111|1110001100000011|  0  |  11110|   0   | 1000| 1003|  11110 |
|34  | 11111|1110001100000011|  0  |  11110|   0   | 1000| 1004|  11110 |
|34+ | 11111|1110001100000100|  0  |  11110|   0   | 1000| 1004|  11110 |
|35  | 11111|1110001100000100|  0  |  11110|   0   | 1000| 1000|  11110 |
|35+ | 11111|1110001100000101|  0  |  11110|   0   | 1000| 1000|  11110 |
|36  | 11111|1110001100000101|  0  |  11110|   0   | 1000| 1000|  11110 |
|36+ | 11111|1110001100000110|  0  |  11110|   0   | 1000| 1000|  11110 |
|37  | 11111|1110001100000110|  0  |  11110|   0   | 1000| 1000|  11110 |
|37+ | 11111|1110001100000111|  0  |  11110|   0   | 1000| 1000|  11110 |
|38  | 11111|1110001100000111|  0  |  11110|   0   | 1000| 1000|  11110 |
|38+ | 11111|1110111111010000|  0  |      1|   1   | 1000| 1000|  11110 |
|39  | 11111|1110111111010000|  0  |      1|   1   | 1000| 1001|  11110 |
|39+ | 11111|1110001100000001|  0  |  11110|   0   | 1000| 1001|  11110 |
|40  | 11111|1110001100000001|  0  |  11110|   0   | 1000| 1002|  11110 |
|40+ | 11111|1110001100000010|  0  |  11110|   0   | 1000| 1002|  11110 |
|41  | 11111|1110001100000010|  0  |  11110|   0   | 1000| 1003|  11110 |
|41+ | 11111|1110001100000011|  0  |  11110|   0   | 1000| 1003|  11110 |
|42  | 11111|1110001100000011|  0  |  11110|   0   | 1000| 1004|  11110 |
|42+ | 11111|1110001100000100|  0  |  11110|   0   | 1000| 1004|  11110 |
|43  | 11111|1110001100000100|  0  |  11110|   0   | 1000| 1000|  11110 |
|43+ | 11111|1110001100000101|  0  |  11110|   0   | 1000| 1000|  11110 |
|44  | 11111|1110001100000101|  0  |  11110|   0   | 1000| 1000|  11110 |
|44+ | 11111|1110001100000110|  0  |  11110|   0   | 1000| 1000|  11110 |
|45  | 11111|1110001100000110|  0  |  11110|   0   | 1000| 1000|  11110 |
|45+ | 11111|1110001100000111|  0  |  11110|   0   | 1000| 1000|  11110 |
|46  | 11111|1110001100000111|  0  |  11110|   0   | 1000| 1000|  11110 |
|46+ | 11111|1110001100000111|  1  |  11110|   0   | 1000| 1000|  11110 |
|47  | 11111|1110001100000111|  1  |  11110|   0   | 1000|    0|  11110 |
|47+ | 11111|0111111111111111|  0  |    864|   0   | 1000|    0|  11110 |
|48  | 11111|0111111111111111|  0  |  11110|   0   |32767|    1|  11110 |
